distributor,gross,percent_change,theaters,per_theater,total_gross,days,date,movie
Atlas Distribution,43,-63,1,43,29639,14,2017-11-23,No Greater Love
Focus Features,6932,10,43,161,10663357,70,2017-01-26,Nocturnal Animals
GKIDS,364,-21,10,36,87737,65,2017-03-02,Ocean Waves
Paramount Pictures,9051,10,139,65,54767494,49,2017-01-26,Office Christmas Party
FIP,830,-29,50,17,355922,14,2017-01-26,Ok Jaanu
Cinema Guild,811,59,2,406,26532,17,2017-12-03,On the Beach at Night Alone
FUNimation,25161,-85,110,229,190859,2,2017-01-11,One Piece Film: Gold
Sony Pictures,9765,-46,86,114,18181288,73,2017-12-31,Only the Brave
Amor Media,456,-64,3,152,4597,24,2017-12-03,Painted Woman
Rialto Pictures,254,-46,1,254,30762,21,2017-02-09,Panic
Sony Pictures,212,77,4,53,100014699,121,2017-04-20,Passengers
Bleecker Street,18597,10,64,291,1618199,58,2017-02-23,Paterson
Lionsgate,7354,NA,84,88,31886361,79,2017-03-09,Patriots Day
Fox Searchlight,2926,-10,46,64,785063,35,2017-09-21,Patti Cake$
Focus Features,63340,-23,4,15835,527840,7,2017-12-31,Phantom Thread
FIP,1694,-1,17,100,467596,21,2017-04-13,Phillauri
Entertainment Studi…,106,-39,3,35,3600146,56,2017-06-15,Phoenix Forgotten
Walt Disney,5806,2,115,50,172558876,119,2017-09-21,Pirates of the Caribbean: Dead Men Tell No Tales
Universal,3565285,-46,3468,1028,63300605,10,2017-12-31,Pitch Perfect 3
Sony Pictures,1190,3,50,24,97049,14,2017-09-21,Poster Boys
Lionsgate,15730,13,157,100,85364450,70,2017-06-01,Power Rangers
Annapurna Pictures,603,-46,10,60,1585362,40,2017-11-21,Professor Marston and the Wonder Women
Matson,311,371,2,156,27836,95,2017-08-21,Radio Dreams
ZeeTV,508925,-34,256,1988,2369469,5,2017-01-29,Raees
Cinema Guild,157,-58,2,79,33568,52,2017-11-05,Rat Film
Focus World,1595,-15,12,133,514870,56,2017-05-04,Raw
Sony Pictures,6565,-55,17,386,26844692,59,2017-03-26,Resident Evil: The Final Chapter
Paramount Pictures,6467,NA,116,56,27793018,49,2017-03-23,Rings
Neon,52,44,2,26,200219,63,2017-07-06,Risk
Lionsgate,4705,34,106,44,9420546,49,2017-04-13,Rock Dog
Walt Disney,2112,98,43,49,532177324,140,2017-05-04,Rogue One: A Star Wars Story
Sony Pictures,2322,-54,33,70,11851274,45,2017-12-31,"Roman J. Israel, Esq."
Sony Pictures,1761,12,59,30,22105643,77,2017-08-31,Rough Night
Pure Flix Entertain…,2919,-38,40,73,6394006,73,2017-12-31,Same Kind of Different as Me
Collective Eye,266,51,1,266,145443,137,2017-01-05,Seed: The Untold Story
Entertainment Studi…,15,88,1,15,8290,28,2017-09-21,Served Like a Girl
EuropaCorp,2497,-20,15,166,6900335,53,2017-01-02,Shut In
Paramount Pictures,7040,NA,72,98,7100177,63,2017-02-23,Silence
Universal,1650,12,188,9,270329045,135,2017-05-04,Sing
Riverrain,6.00E+05,-2,502,1195,1687000,3,2017-03-26,Slamma Jamma
Open Road,6616,5,101,66,20783704,56,2017-03-09,Sleepless
High Top Releasing,2245,-35,49,46,3930990,35,2017-06-01,Sleight
Sony Pictures,1954,-29,27,72,45020282,119,2017-08-03,Smurfs: The Lost Village
20th Century Fox,1147,28,21,55,45847354,77,2017-07-27,Snatched
Open Road,571,-50,85,7,196458,14,2017-04-27,Spark: A Space Tail
Hannover House,233,-92,2,117,13463,140,2017-03-12,Spices of Liberty
Sony Pictures,2986,-55,37,81,334198153,143,2017-11-26,Spider-Man: Homecoming
Universal,4730,-35,103,46,138141585,105,2017-05-04,Split
Walt Disney,13566649,-32,4232,3206,517218368,17,2017-12-31,Star Wars: Episode VIII - The Last Jedi
Cinema Guild,112,-21,1,112,2208,17,2017-02-05,Starless Dreams
Fox Searchlight,3998,1,42,95,1081116,35,2017-09-07,Step
Warner Bros.,5373,-5,152,35,72679278,112,2017-01-12,Storks
Roadside Attractions,348,-24,8,44,4211129,70,2017-11-30,Stronger
Paramount Pictures,6772,-35,281,24,5775178,21,2017-11-16,Suburbicon
Warner Bros.,1232,37,28,44,125070033,140,2017-01-26,Sully
The Orchard,78,388,1,78,33109,30,2017-10-28,Super Dark Times
Sony Pictures,11516,-25,67,172,2289243,45,2017-04-30,T2: Trainspotting
Fox Searchlight,2003,-4,33,61,3600071,28,2017-03-30,Table 19
The Orchard,498,-58,2,249,2583,3,2017-05-07,Take Me
Universal,6085,4,172,35,9479390,28,2017-11-23,Thank You for Your Service
Warner Bros.,16576,13,181,92,86260045,91,2017-01-12,The Accountant
Neon,1096,44,15,73,125227,42,2017-08-10,The B-Side
Neon,278,-60,3,93,180851,31,2017-07-23,The Bad Batch
A24,7856,NA,2,3928,7856,7,2017-12-21,The Ballad of Lefty Brown
Focus Features,8755,12,89,98,10576669,49,2017-08-10,The Beguiled
BH Tilt,570,20,18,32,10166820,70,2017-05-25,The Belko Experiment
Lionsgate,2794,11,64,44,42872467,119,2017-10-19,The Big Sick
A24,225,221,5,45,20435,14,2017-04-13,The Blackcoat's Daughter
Focus Features,14475,-4,154,94,4288104,28,2017-07-13,The Book of Henry
20th Century Fox,228,6,90,3,174967430,161,2017-09-07,The Boss Baby
GKIDS,528,-76,10,53,220307,45,2017-12-31,The Breadwinner
STX Entertainment,2949,-6,62,48,22395806,35,2017-02-16,The Bye Bye Man
Pure Flix Entertain…,1346,19,18,75,14672135,77,2017-06-22,The Case for Christ
STX Entertainment,4040,-20,91,44,20497844,42,2017-06-08,The Circle
Sony Pictures,6756,-34,59,115,50692621,73,2017-10-15,The Dark Tower
Matson,564,-14,3,188,24322,54,2017-12-05,The Departure
The Orchard,189,128,5,38,1323312,42,2017-06-15,The Dinner
A24,200119,-49,507,395,17861795,31,2017-12-31,The Disaster Artist
STX Entertainment,5023,-7,71,71,14431633,49,2017-01-05,The Edge of Seventeen
Sony Pictures,3363,-44,51,66,86087381,122,2017-11-26,The Emoji Movie
A24,285,26,2,143,705963,84,2017-08-24,The Exception
Universal,19270,19,115,168,225764765,91,2017-07-13,The Fate of the Furious
A24,11940,-46,33,362,5297299,87,2017-12-31,The Florida Project
STX Entertainment,5432,9,93,58,34393507,70,2017-12-21,The Foreigner
Weinstein Co.,150,NA,8,19,12786053,118,2017-04-27,The Founder
GKIDS,139,18,7,20,21787,66,2017-09-24,The Girl Without Hands
Lionsgate,9470,2,113,84,17273059,63,2017-10-12,The Glass Castle
Universal,7015,-4,104,67,45157105,49,2017-04-06,The Great Wall
20th Century Fox,4436321,-23,3316,1338,49036718,12,2017-12-31,The Greatest Showman
Self Distributed,478,NA,1,478,478,1,2017-05-26,The Helsings
The Orchard,28,-20,2,14,4077333,124,2017-10-10,The Hero
Lionsgate,7055,4,147,48,75468583,77,2017-11-02,The Hitman's Bodyguard
Warner Bros.,5187,NA,95,55,25584504,63,2017-08-31,The House
A24,951,11,8,119,2291900,70,2017-12-28,The Killing of a Sacred Deer
Matson,590,NA,2,295,145513,152,2017-12-05,The Last Dalai Lama?
Warner Bros.,19504,22,166,117,175750384,119,2017-06-08,The Lego Batman Movie
Warner Bros.,6679,11,292,23,59281555,70,2017-11-30,The Lego Ninjago Movie
Rialto Pictures,76,12,1,76,22294332,17600,2017-01-05,The Lion in Winter
Bleecker Street,5834,-22,121,48,8403655,56,2017-06-08,The Lost City of Z
A24,650,12,5,130,2194521,73,2017-07-16,The Lovers
Sony Pictures,4785,70,23,208,93427848,102,2017-01-02,The Magnificent Seven
Bleecker Street,17652,-31,146,121,5575759,40,2017-12-31,The Man Who Invented Christmas
20th Century Fox,4947,24,112,44,30348555,77,2017-12-21,The Mountain Between Us
Universal,7895,13,102,77,80101125,70,2017-08-17,The Mummy
Open Road,5387,-11,341,16,28370522,49,2017-09-28,The Nut Job 2: Nutty by Nature
Roadside Attractions,338,-7,5,68,624332,49,2017-09-28,The Only Living Boy in New York
Warner Bros.,19539,199,18,1086,183710445,4776,2017-12-07,The Polar Express
20th Century Fox,186640,-8,9,20738,1760121,10,2017-12-31,The Post
Open Road,8866,-7,110,81,8224288,28,2017-05-18,The Promise
Walt Disney,2934,2,53,55,8874389,105,2017-01-05,The Queen of Katwe
Freestyle Releasing,490,-49,31,16,22233,20,2017-06-21,The Recall
High Top Releasing,5885,-10,118,50,2303792,21,2017-02-09,The Resurrection of Gavin Stone
20th Century Fox,92000,-46,250,368,1054845,15375,2017-10-29,The Rocky Horror Picture Show
Cohen Media Group,28881,NA,94,307,1223387,27,2017-02-22,The Salesman
CBS Films,10544,9,88,120,1274420,28,2017-04-06,The Sense of an Ending
Lionsgate,13715,14,201,68,57386418,77,2017-05-18,The Shack
Fox Searchlight,996207,-27,756,1318,15670177,31,2017-12-31,The Shape of Water
Universal,3115,-7,85,37,6670765,28,2017-11-16,The Snowman
STX Entertainment,12684,-7,107,119,7885294,28,2017-03-02,The Space Between Us
Sony Pictures,98913,-46,661,150,39963949,45,2017-12-31,The Star
Purdie Distribution,158,-77,6,26,1579440,70,2017-12-14,The Stray
Roadside Attractions,9,-80,2,5,1803064,40,2017-06-20,The Wall
Roadside Attractions,205,-45,3,68,1412404,91,2017-08-10,The Wedding Plan
The Orchard,509,-3,2,255,5853,9,2017-11-02,The Work
Focus Features,8970,-2,92,98,17445186,77,2017-06-15,The Zookeeper's Wife
STX Entertainment,1945,23,29,67,3603484,77,2017-06-22,Their Finest
The Orchard,245,-63,6,41,132011,52,2017-12-31,Thelma
Walt Disney,206623,-40,540,383,311225150,59,2017-12-31,Thor: Ragnarok
Fox Searchlight,201312,-24,266,757,24164629,52,2017-12-31,"Three Billboards Outside Ebbing, Missouri"
Weinstein Co.,1161,23,13,89,68852,20,2017-05-24,Three Generations
Gravitas Ventures,349,113,3,116,2226,7,2017-12-07,Thrill Ride
Novus Content,12390,-36,310,40,3308359,21,2017-10-19,Til Death Do Us Part
Purdie Distribution,30,NA,1,30,97787,55,2017-04-26,Tim Timmerman: Hope of America
Paramount Pictures,3777,-72,75,50,659363944,7301,2017-12-14,Titanic
Roadside Attractions,312,-40,7,45,569306,49,2017-06-01,Tommy's Honour
Epic Pictures Group,438,-37,5,88,13476,12,2017-10-17,Trafficked
Paramount Pictures,14402,-6,224,64,130168683,65,2017-08-24,Transformers: The Last Knight
20th Century Fox,2705,-15,69,39,153684900,140,2017-03-23,Trolls
The Orchard,51,31,1,51,21439,45,2017-10-22,Trophy
Weinstein Co.,23,-99,1,23,2425664,77,2017-11-16,Tulip Fever
Lionsgate,5861,-9,210,28,47319572,56,2017-12-14,Boo 2! A Madea Halloween
Lionsgate,2911,5,23,127,2156047,42,2017-03-09,Un Padre No Tan Padre
Sony Pictures,1509,10,42,36,30353973,63,2017-03-09,Underworld: Blood Wars
Warner Bros.,3910,-8,102,38,11368012,42,2017-06-01,Unforgettable
STX Entertainment,8476,-2,151,56,40479370,63,2017-09-21,Valerian and the City of a Thousand Planets
Focus Features,3485,-28,23,152,22233285,101,2017-12-31,Victoria and Abdul
20th Century Fox,2485,12,46,54,146843711,119,2017-11-09,War for the Planet of the Apes
FIP,964,-27,12,80,84532,14,2017-06-29,Warriors of the Dawn
Super LTD,2972,7,11,270,25865,7,2017-10-19,Wasted! The Story of Food Waste
Purdie Distribution,22,57,1,22,113435,63,2017-10-05,"We Love You, Sally Carmichael"
20th Century Fox,19146,-5,68,282,60269575,84,2017-03-16,Why Him?
Fox Searchlight,1350,31,28,48,651219,21,2017-04-13,Wilson
Weinstein Co.,254,18,9,28,33800859,126,2017-12-07,Wind River
Broad Green Pictures,2286000,NA,2250,1016,2286000,1,2017-07-14,Wish Upon
Lionsgate,847181,-28,1193,710,121559294,45,2017-12-31,Wonder
Amazon Studios,11088,-21,55,202,1306606,31,2017-12-31,Wonder Wheel
Warner Bros.,958,29,30,32,412563408,161,2017-11-09,Wonder Woman
Roadside Attractions,738,-39,15,49,1033632,52,2017-12-10,Wonderstruck
A24,454,65,9,50,42469,21,2017-10-12,Woodshock
Paramount Pictures,11668,2,139,84,44898413,56,2017-03-16,xXx: Return of Xander Cage
