"","Title","Genre","Awards","Ratings.Source","Ratings.Value","Ratings.Source.1","Ratings.Value.1","Ratings.Source.2","Ratings.Value.2"
"218","Swim Team","Documentary, Drama, Family","5 wins & 1 nomination.","Internet Movie Database","8.2/10","Rotten Tomatoes","100%","Metacritic","72/100"
"219","13 Minutes","Biography, Drama, War","4 wins & 16 nominations.","Internet Movie Database","7.0/10","Rotten Tomatoes","75%","Metacritic","58/100"
"220","Darkness Rising","Horror","N/A","Internet Movie Database","3.3/10","Rotten Tomatoes","0%",NA,NA
"221","Despicable Me 3","Animation, Action, Adventure","25 nominations.","Internet Movie Database","6.3/10","Rotten Tomatoes","60%","Metacritic","49/100"
"222","Marie Curie","Biography, Drama","1 win & 4 nominations.","Internet Movie Database","8.3/10",NA,NA,NA,NA
"223","Reset","Action, Sci-Fi","1 nomination.","Internet Movie Database","5.2/10","Rotten Tomatoes","50%",NA,NA
"224","The Beguiled","Drama, Thriller","4 wins & 23 nominations.","Internet Movie Database","6.3/10","Rotten Tomatoes","78%","Metacritic","77/100"
"225","The House","Comedy, Crime","1 win.","Internet Movie Database","5.6/10","Rotten Tomatoes","18%","Metacritic","30/100"
"226","The Little Hours","Comedy, Romance","4 nominations.","Internet Movie Database","5.8/10","Rotten Tomatoes","78%","Metacritic","69/100"
"227","The Reagan Show","Documentary","1 win & 5 nominations.","Internet Movie Database","6.3/10","Rotten Tomatoes","78%","Metacritic","66/100"
"228","The Skyjacker's Tale","Documentary","2 nominations.","Internet Movie Database","6.0/10","Rotten Tomatoes","60%","Metacritic","54/100"
"229","All the Rage (Saved by Sarno)","Documentary, Biography, Drama","N/A","Internet Movie Database","9.4/10","Metacritic","47/100",NA,NA
"230","Can't Stop, Won't Stop: A Bad Boy Story","Documentary, Music","1 win.","Internet Movie Database","4.5/10","Rotten Tomatoes","38%",NA,NA
"231","Food Evolution","Documentary","1 nomination.","Internet Movie Database","6.9/10","Metacritic","72/100",NA,NA
"232","In Pursuit of Silence","Documentary","2 wins & 3 nominations.","Internet Movie Database","7.2/10","Metacritic","70/100",NA,NA
"233","Nobody Speak: Trials of the Free Press","Documentary","2 nominations.","Internet Movie Database","6.5/10","Rotten Tomatoes","91%","Metacritic","68/100"
"234","Paulina","Drama, Thriller","20 wins & 19 nominations.","Internet Movie Database","6.5/10","Metacritic","70/100",NA,NA
"235","The Bad Batch","Drama, Horror, Romance, Sci-Fi","1 win & 3 nominations.","Internet Movie Database","5.3/10","Rotten Tomatoes","43%","Metacritic","62/100"
"236","Transformers: The Last Knight","Action, Adventure, Sci-Fi","16 nominations.","Internet Movie Database","5.2/10","Rotten Tomatoes","16%","Metacritic","27/100"
"237","All Eyez on Me","Biography, Drama, Music","1 nomination.","Internet Movie Database","5.8/10","Rotten Tomatoes","17%","Metacritic","38/100"
"238","Kill Switch","Action, Sci-Fi, Thriller","N/A","Internet Movie Database","4.8/10","Rotten Tomatoes","10%","Metacritic","31/100"
"239","Once Upon a Time in Venice","Action, Comedy, Thriller","N/A","Internet Movie Database","5.3/10","Rotten Tomatoes","18%","Metacritic","28/100"
"240","Rough Night","Comedy, Crime, Thriller","1 win & 1 nomination.","Internet Movie Database","5.2/10","Rotten Tomatoes","45%","Metacritic","51/100"
"241","The Book of Henry","Crime, Drama, Thriller","1 win & 2 nominations.","Internet Movie Database","6.6/10","Rotten Tomatoes","22%","Metacritic","31/100"
"242","The Journey","Drama, History, Romance","1 nomination.","Internet Movie Database","7.0/10",NA,NA,NA,NA
"243","11:55","Crime, Drama","2 wins & 2 nominations.","Internet Movie Database","4.9/10","Rotten Tomatoes","100%",NA,NA
"244","Ascent","Drama","1 nomination.","Internet Movie Database","7.3/10","Metacritic","75/100",NA,NA
"245","Band Aid","Comedy, Drama, Music, Romance","1 win & 2 nominations.","Internet Movie Database","6.6/10","Rotten Tomatoes","87%","Metacritic","67/100"
"246","Beatriz at Dinner","Comedy, Drama","2 wins & 8 nominations.","Internet Movie Database","6.1/10","Rotten Tomatoes","74%","Metacritic","68/100"
"247","Camera Obscura","Horror, Thriller","N/A","Internet Movie Database","4.7/10","Metacritic","35/100",NA,NA
"248","Miles","Comedy, Drama, Family","6 wins & 1 nomination.","Internet Movie Database","5.7/10",NA,NA,NA,NA
"249","Moscow Never Sleeps","Drama","N/A","Internet Movie Database","5.7/10","Rotten Tomatoes","70%","Metacritic","51/100"
"250","The Mummy","Action, Adventure, Fantasy","Nominated for 1 Oscar. Another 5 wins & 19 nominations.","Internet Movie Database","7.0/10","Rotten Tomatoes","57%","Metacritic","48/100"
"251","Captain Underpants: The First Epic Movie","Animation, Action, Comedy","1 win & 10 nominations.","Internet Movie Database","6.2/10","Rotten Tomatoes","87%","Metacritic","69/100"
"252","Churchill","Biography, Drama, History","N/A","Internet Movie Database","6.3/10","Rotten Tomatoes","49%","Metacritic","44/100"
"253","Dean","Comedy, Drama, Romance","1 win & 1 nomination.","Internet Movie Database","6.3/10","Rotten Tomatoes","64%","Metacritic","58/100"
