"","Title","Genre","Awards","Ratings.Source","Ratings.Value","Ratings.Source.1","Ratings.Value.1","Ratings.Source.2","Ratings.Value.2"
"1","In the Fade","Crime, Drama, Thriller","Won 1 Golden Globe. Another 13 wins & 17 nominations.","Internet Movie Database","7.1/10","Metacritic","65/100",NA,NA
"2","A German Life","Documentary, Biography","N/A","Internet Movie Database","7.2/10",NA,NA,NA,NA
"3","Along with the Gods: The Two Worlds","Action, Drama, Fantasy","1 win & 3 nominations.","Internet Movie Database","7.3/10","Rotten Tomatoes","50%",NA,NA
"4","Bright","Action, Crime, Fantasy, Thriller","1 win & 3 nominations.","Internet Movie Database","6.4/10","Rotten Tomatoes","26%","Metacritic","29/100"
"5","Downsizing","Drama, Sci-Fi","Nominated for 1 Golden Globe. Another 1 win & 14 nominations.","Internet Movie Database","5.7/10","Rotten Tomatoes","50%","Metacritic","63/100"
"6","Father Figures","Comedy","N/A","Internet Movie Database","5.4/10","Rotten Tomatoes","18%","Metacritic","22/100"
"7","Jumanji: Welcome to the Jungle","Action, Adventure, Comedy","2 wins & 3 nominations.","Internet Movie Database","7.0/10","Rotten Tomatoes","76%","Metacritic","58/100"
"8","Pitch Perfect 3","Comedy, Music","2 wins & 3 nominations.","Internet Movie Database","5.9/10","Rotten Tomatoes","32%","Metacritic","40/100"
"9","The Greatest Showman","Biography, Drama, Musical","Nominated for 1 Oscar. Another 7 wins & 19 nominations.","Internet Movie Database","7.7/10","Rotten Tomatoes","56%","Metacritic","48/100"
"10","Beyond Skyline","Action, Adventure, Horror","N/A","Internet Movie Database","5.3/10","Rotten Tomatoes","65%","Metacritic","46/100"
"11","Birdboy: The Forgotten Children","Animation, Drama, Horror","7 wins & 5 nominations.","Internet Movie Database","7.5/10","Metacritic","76/100",NA,NA
"12","Desolation","Drama, Horror, Thriller","N/A","Internet Movie Database","4.6/10","Rotten Tomatoes","64%",NA,NA
"13","Ferdinand","Animation, Adventure, Comedy","Nominated for 1 Oscar. Another 2 wins & 15 nominations.","Internet Movie Database","6.7/10","Rotten Tomatoes","71%","Metacritic","58/100"
"14","Killing for Love","Thriller","N/A","Internet Movie Database","4.1/10","Rotten Tomatoes","100%",NA,NA
"15","Miss Kiet's Children","Documentary","N/A","Internet Movie Database","8.4/10","Rotten Tomatoes","100%",NA,NA
"16","Permanent","Comedy","N/A","Internet Movie Database","5.5/10","Rotten Tomatoes","38%","Metacritic","41/100"
"17","Sundowners","Comedy, Drama","1 nomination.","Internet Movie Database","6.8/10","Rotten Tomatoes","80%","Metacritic","49/100"
"18","The Ballad of Lefty Brown","Action, Drama, Western","1 nomination.","Internet Movie Database","6.2/10","Rotten Tomatoes","78%","Metacritic","64/100"
"19","Hollow in the Land","Drama, Mystery, Thriller","N/A","Internet Movie Database","5.6/10","Rotten Tomatoes","57%","Metacritic","58/100"
"20","I, Tonya","Biography, Comedy, Drama","Nominated for 3 Oscars. Another 31 wins & 109 nominations.","Internet Movie Database","7.5/10","Rotten Tomatoes","90%","Metacritic","77/100"
"21","Just Getting Started","Action, Comedy","N/A","Internet Movie Database","4.3/10","Rotten Tomatoes","5%","Metacritic","21/100"
"22","Kaleidoscope","Comedy, Crime","1 nomination.","Internet Movie Database","6.0/10",NA,NA,NA,NA
"23","The Disaster Artist","Biography, Comedy, Drama","Nominated for 1 Oscar. Another 25 wins & 71 nominations.","Internet Movie Database","7.5/10","Rotten Tomatoes","91%","Metacritic","76/100"
"24","32 Pills: My Sister's Suicide","Documentary, Biography, Family","1 win & 1 nomination.","Internet Movie Database","6.5/10","Rotten Tomatoes","100%","Metacritic","71/100"
"25","Love Beats Rhymes","Drama, Musical","N/A","Internet Movie Database","5.1/10","Rotten Tomatoes","50%","Metacritic","54/100"
"26","Naples '44","Documentary, War","1 win & 1 nomination.","Internet Movie Database","6.5/10","Metacritic","51/100",NA,NA
"27","Rosa Chumbe","Drama","8 wins & 2 nominations.","Internet Movie Database","7.1/10",NA,NA,NA,NA
"28","Sins of the Flesh","Drama","1 win.","Internet Movie Database","5.1/10",NA,NA,NA,NA
"29","The Dancer","Biography, Drama, History","1 win & 14 nominations.","Internet Movie Database","6.5/10","Metacritic","44/100",NA,NA
"30","The New Radical","Documentary","1 win & 3 nominations.","Internet Movie Database","7.1/10","Rotten Tomatoes","58%","Metacritic","77/100"
"31","The Tribes of Palos Verdes","Drama","1 win.","Internet Movie Database","5.7/10","Rotten Tomatoes","62%","Metacritic","49/100"
"32","Voyeur","Documentary","N/A","Internet Movie Database","6.2/10","Rotten Tomatoes","81%","Metacritic","59/100"
"33","Wonder Wheel","Drama","3 wins & 4 nominations.","Internet Movie Database","6.2/10","Rotten Tomatoes","30%","Metacritic","45/100"
"34","Coco","Animation, Adventure, Comedy","Won 2 Oscars. Another 86 wins & 28 nominations.","Internet Movie Database","8.4/10","Rotten Tomatoes","97%","Metacritic","81/100"
"35","Crooked House","Crime, Drama, Mystery","N/A","Internet Movie Database","6.3/10","Rotten Tomatoes","57%","Metacritic","59/100"
"36","Cuba and the Cameraman","Documentary","N/A","Internet Movie Database","8.2/10","Rotten Tomatoes","100%","Metacritic","82/100"
"37","Darkest Hour","Biography, Drama, History, War","Won 2 Oscars. Another 40 wins & 63 nominations.","Internet Movie Database","7.4/10","Rotten Tomatoes","84%","Metacritic","75/100"
"38","Eric Clapton: Life in 12 Bars","Documentary","1 win & 4 nominations.","Internet Movie Database","7.0/10","Rotten Tomatoes","69%","Metacritic","62/100"
"39","Hangman","Crime, Mystery, Thriller","N/A","Internet Movie Database","5.2/10","Rotten Tomatoes","5%","Metacritic","31/100"
"40","Mr. Roosevelt","Comedy","5 wins & 4 nominations.","Internet Movie Database","6.2/10","Rotten Tomatoes","100%","Metacritic","73/100"
"41","Roman J. Israel, Esq.","Crime, Drama","Nominated for 1 Oscar. Another 1 win & 7 nominations.","Internet Movie Database","6.4/10","Rotten Tomatoes","51%","Metacritic","58/100"
"42","The Man Who Invented Christmas","Biography, Comedy, Drama","1 win.","Internet Movie Database","7.0/10","Rotten Tomatoes","80%","Metacritic","60/100"
"43","Cook Off!","Comedy","1 win.","Internet Movie Database","4.0/10",NA,NA,NA,NA
"44","Justice League","Action, Adventure, Fantasy, Sci-Fi","1 win & 6 nominations.","Internet Movie Database","6.6/10","Rotten Tomatoes","40%","Metacritic","45/100"
"45","Song of Granite","Biography, Drama","1 win & 2 nominations.","Internet Movie Database","6.6/10","Rotten Tomatoes","87%","Metacritic","68/100"
"46","Wet Woman in the Wind","Drama, Romance","1 nomination.","Internet Movie Database","6.2/10","Metacritic","59/100",NA,NA
"47","Daddy's Home 2","Comedy","1 win & 3 nominations.","Internet Movie Database","6.0/10","Rotten Tomatoes","20%","Metacritic","30/100"
"48","Hello Again","Comedy, Drama, Fantasy","1 nomination.","Internet Movie Database","5.1/10","Rotten Tomatoes","11%",NA,NA
"49","Intent to Destroy","Documentary","3 wins.","Internet Movie Database","8.5/10","Rotten Tomatoes","92%",NA,NA
"50","Mayhem","Action, Comedy, Thriller","2 wins & 2 nominations.","Internet Movie Database","6.3/10","Rotten Tomatoes","83%","Metacritic","62/100"
"51","Murder on the Orient Express","Crime, Drama, Mystery","18 nominations.","Internet Movie Database","6.5/10","Rotten Tomatoes","57%","Metacritic","52/100"
"52","Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama","Won 2 Oscars. Another 104 wins & 193 nominations.","Internet Movie Database","8.2/10","Rotten Tomatoes","92%","Metacritic","88/100"
"53","11/8/16","Documentary","3 nominations.","Internet Movie Database","5.6/10","Rotten Tomatoes","75%","Metacritic","62/100"
"54","1945","Drama","1 win & 4 nominations.","Internet Movie Database","7.3/10","Rotten Tomatoes","97%","Metacritic","75/100"
"55","A Bad Moms Christmas","Adventure, Comedy","1 win & 1 nomination.","Internet Movie Database","5.5/10","Rotten Tomatoes","28%","Metacritic","42/100"
"56","A Gray State","Documentary","1 nomination.","Internet Movie Database","6.2/10","Rotten Tomatoes","100%","Metacritic","74/100"
"57","Along for the Ride","Documentary","1 nomination.","Internet Movie Database","7.3/10","Metacritic","61/100",NA,NA
"58","Blade of the Immortal","Action, Drama, Fantasy","10 nominations.","Internet Movie Database","6.8/10","Metacritic","72/100",NA,NA
"59","Frank Serpico","Documentary","N/A","Internet Movie Database","6.7/10","Metacritic","68/100",NA,NA
"60","It Happened in L.A.","Comedy","1 nomination.","Internet Movie Database","6.2/10","Rotten Tomatoes","67%","Metacritic","58/100"
"61","Last Flag Flying","Comedy, Drama, War","2 wins & 7 nominations.","Internet Movie Database","6.9/10","Rotten Tomatoes","78%","Metacritic","65/100"
"62","LBJ","Biography, Drama","1 nomination.","Internet Movie Database","6.4/10","Rotten Tomatoes","57%","Metacritic","54/100"
"63","My Friend Dahmer","Biography, Drama, Horror","1 win & 3 nominations.","Internet Movie Database","6.3/10","Rotten Tomatoes","85%","Metacritic","68/100"
"64","The Light of the Moon","Drama","3 wins & 8 nominations.","Internet Movie Database","6.2/10","Rotten Tomatoes","97%","Metacritic","76/100"
"65","Thor: Ragnarok","Action, Adventure, Comedy","5 wins & 30 nominations.","Internet Movie Database","7.9/10","Rotten Tomatoes","92%","Metacritic","74/100"
"66","Wait for Your Laugh","Documentary, Comedy","1 win.","Internet Movie Database","8.3/10","Rotten Tomatoes","89%","Metacritic","70/100"
"67","All I See Is You","Drama, Mystery, Romance","1 nomination.","Internet Movie Database","5.3/10","Rotten Tomatoes","29%","Metacritic","43/100"
"68","Maya Dardel","Drama","3 wins & 3 nominations.","Internet Movie Database","4.8/10","Rotten Tomatoes","62%","Metacritic","53/100"
"69","Mully","Documentary, Adventure, Biography","8 wins & 1 nomination.","Internet Movie Database","7.8/10",NA,NA,NA,NA
"70","Suburbicon","Crime, Drama, Mystery","3 wins & 5 nominations.","Internet Movie Database","5.6/10","Metacritic","42/100",NA,NA
"71","Thank You for Your Service","Biography, Drama, War","1 win.","Internet Movie Database","6.5/10","Rotten Tomatoes","76%","Metacritic","68/100"
"72","The Divine Order","Comedy, Drama","12 wins & 10 nominations.","Internet Movie Database","7.1/10","Metacritic","67/100",NA,NA
"73","Dealt","Documentary, Biography","4 wins & 2 nominations.","Internet Movie Database","7.7/10","Rotten Tomatoes","95%","Metacritic","66/100"
"74","Geostorm","Action, Sci-Fi, Thriller","N/A","Internet Movie Database","5.3/10","Rotten Tomatoes","13%","Metacritic","21/100"
"75","Jungle","Action, Adventure, Biography, Drama, Thriller","1 win & 1 nomination.","Internet Movie Database","6.7/10","Rotten Tomatoes","59%","Metacritic","48/100"
"76","L'enfant secret","Drama","1 win.","Internet Movie Database","7.0/10",NA,NA,NA,NA
"77","Never Here","Drama, Mystery, Thriller","3 nominations.","Internet Movie Database","4.4/10","Rotten Tomatoes","82%","Metacritic","64/100"
"78","One of Us","Documentary","1 win & 3 nominations.","Internet Movie Database","7.1/10","Rotten Tomatoes","96%","Metacritic","79/100"
"79","The Snowman","Crime, Drama, Mystery","1 nomination.","Internet Movie Database","5.1/10","Rotten Tomatoes","8%","Metacritic","23/100"
"80","Tragedy Girls","Comedy, Crime, Horror","8 wins & 3 nominations.","Internet Movie Database","6.0/10","Rotten Tomatoes","81%","Metacritic","58/100"
"81","Breathe","Biography, Drama, Romance","1 win & 3 nominations.","Internet Movie Database","7.1/10","Rotten Tomatoes","66%","Metacritic","51/100"
"82","For Ahkeem","Documentary","2 wins & 2 nominations.","Internet Movie Database","8.1/10","Rotten Tomatoes","96%",NA,NA
"83","Happy Death Day","Horror, Mystery, Thriller","1 nomination.","Internet Movie Database","6.5/10","Rotten Tomatoes","70%","Metacritic","57/100"
"84","Marshall","Biography, Drama","Nominated for 1 Oscar. Another 4 wins & 16 nominations.","Internet Movie Database","7.2/10","Metacritic","66/100",NA,NA
"85","Te Ata","Biography, Drama, History","7 wins.","Internet Movie Database","6.5/10","Rotten Tomatoes","65%","Metacritic","51/100"
"86","The Departure","Drama, Romance, Comedy","2 wins.","Internet Movie Database","6.9/10",NA,NA,NA,NA
"87","The Foreigner","Action, Crime, Drama","N/A","Internet Movie Database","7.0/10","Rotten Tomatoes","64%","Metacritic","55/100"
"88","Bending the Arc","Documentary","1 win & 1 nomination.","Internet Movie Database","8.0/10","Rotten Tomatoes","100%","Metacritic","80/100"
"89","Blade Runner 2049","Drama, Mystery, Sci-Fi","Won 2 Oscars. Another 81 wins & 131 nominations.","Internet Movie Database","8.1/10","Rotten Tomatoes","87%","Metacritic","81/100"
"90","Chavela","Documentary, Biography, History","4 wins & 4 nominations.","Internet Movie Database","7.8/10","Rotten Tomatoes","94%","Metacritic","68/100"
"91","Dina","Documentary","6 wins & 3 nominations.","Internet Movie Database","6.7/10","Rotten Tomatoes","98%","Metacritic","75/100"
"92","Overdrive","Action, Thriller","N/A","Internet Movie Database","5.4/10","Rotten Tomatoes","23%",NA,NA
"93","The Death and Life of Marsha P. Johnson","Documentary","4 wins & 4 nominations.","Internet Movie Database","7.1/10","Rotten Tomatoes","96%","Metacritic","76/100"
"94","The Mountain Between Us","Action, Adventure, Drama, Romance, Thriller","2 wins & 1 nomination.","Internet Movie Database","6.4/10","Rotten Tomatoes","41%","Metacritic","48/100"
"95","Walking Out","Adventure, Drama, Mystery","1 win & 2 nominations.","Internet Movie Database","5.8/10","Rotten Tomatoes","89%","Metacritic","79/100"
"96","American Made","Action, Biography, Comedy","3 nominations.","Internet Movie Database","7.2/10","Rotten Tomatoes","86%","Metacritic","65/100"
"97","Blood Stripe","Drama, Thriller, War","5 wins.","Internet Movie Database","8.2/10","Rotten Tomatoes","86%","Metacritic","70/100"
"98","Crash Pad","Comedy","N/A","Internet Movie Database","5.6/10","Rotten Tomatoes","54%","Metacritic","46/100"
"99","Flatliners","Drama, Horror, Sci-Fi","Nominated for 1 Oscar. Another 2 nominations.","Internet Movie Database","6.6/10","Rotten Tomatoes","48%","Metacritic","55/100"
"100","Mark Felt: The Man Who Brought Down the White House","Biography, Drama, History, Thriller","1 nomination.","Internet Movie Database","6.4/10","Metacritic","49/100",NA,NA
"101","Our Souls at Night","Drama, Romance","N/A","Internet Movie Database","6.9/10","Rotten Tomatoes","89%","Metacritic","69/100"
"102","Pearl Jam: Let's Play Two","Documentary, Music","N/A","Internet Movie Database","8.5/10","Metacritic","75/100",NA,NA
"103","Realive","Drama, Sci-Fi","2 wins & 1 nomination.","Internet Movie Database","5.9/10","Rotten Tomatoes","79%","Metacritic","59/100"
