"","movie","pick","review"
"113","Professor Marston and the Wonder Women",1,"In “Professor Marston and the Wonder Women,” the writer-director Angela Robinson tells a knotty story with wit, sympathy and economy."
"114","Te Ata",0,"A biopic about the rise of a Native American performer who overcame discriminatory laws to perform on Broadway and in the White House."
"115","The Departure",0,"This documentary follows a Buddhist priest who counsels those who are in danger of committing suicide."
"116","The Foreigner",0,"He plays an aggrieved father facing off against Pierce Brosnan, who plays a character with possible links to the I.R.A."
"117","The Meyerowitz Stories (New and Selected)",1,"A career high, and not just for this film’s writer and director, Noah Baumbach."
"118","Thy Father's Chair",1,"The mess that two Brooklyn brothers make of their house in this documentary is unholy in several senses of the term."
"119","Bending the Arc",0,"This feel-good documentary dives into global health care with the same optimism as its subjects, two founders of Partners in Health."
"120","Blade Runner 2049",0,"The director Denis Villeneuve tries to both honor Ridley Scott’s 1982 dystopian classic and to slip free of its considerable shadow."
"121","Brawl in Cell Block 99",1,"Mr. Vaughn plays a reluctant avenger in this vicious thriller from the director of “Bone Tomahawk.”"
"122","Chavela",0,"The documentary about the singer Chavela Vargas provides a biography, but doesn’t give a strong sense of the musician’s power."
"123","Dina",0,"An intimate, affecting film about a couple with autism, as they plan their wedding."
"124","Overdrive",0,"Scott Eastwood and Freddie Thorp star as brothers and car thieves in this action film."
"125","The Death and Life of Marsha P. Johnson",0,"The documentary, by David France, looks at the death of the transgender activist. Police say it was suicide; friends suspect it was murder."
"126","The Mountain Between Us",0,"Idris Elba and Kate Winslet crash into a mountain — and each other — in this drama."
"127","Walking Out",0,"The film follows a father and son who trek into the Montana wilderness, only to encounter danger."
"128","American Made",0,"Mr. Cruise plays a real-life pilot turned smuggler who worked for the C.I.A., in Doug Liman’s new movie."
"129","Blood Stripe",0,"A former Marine returns home and battles with post-traumatic stress in this film."
"130","Bugs",1,"Ben Reade and Josh Evans travel the world to visit cultures where insects are prepared as food."
"131","Crash Pad",0,"A slacker, his lover and his lover’s husband make a sticky love triangle in this awkward comedy."
"132","Flatliners",0,"The original starred Julia Roberts, Kiefer Sutherland and Kevin Bacon, among others. The new one has Ellen Page and some horror movie tricks."
"133","Lucky",1,"In one of his last roles, Harry Dean Stanton shines as a cantankerous old man."
"134","Mark Felt: The Man Who Brought Down the White House",0,"Peter Landesman’s accidentally timely Watergate procedural has men in suits fighting for the independence of the F.B.I."
"135","Our Souls at Night",0,"This small-town romance was adapted from the novel by Kent Haruf."
"136","Pearl Jam: Let's Play Two",0,"Blending concert film and sports diary, Danny Clinch chronicles Pearl Jam’s pair of shows at Wrigley Field during the Cubs’ championship season."
"137","Realive",0,"This above-average science-fiction film, written and directed by Mateo Gil, plays like a “Black Mirror” episode combined with a solemn love story."
"138","Super Dark Times",0,"Kevin Phillips’s direction and fine acting from the cast elevate this tale centered on two high schoolers coping with tragedy."
"139","Take Every Wave: The Life of Laird Hamilton",0,"This documentary about Laird Hamilton, conqueror of big waves, stirs up most of its sporadic excitement with its surfing footage."
"140","Battle of the Sexes",0,"Emma Stone plays Billie Jean King and Steve Carell plays Bobby Riggs in a movie about the 1973 tennis match that became a referendum on equality."
"141","Gaga: Five Foot Two",0,"This documentary depicts Lady Gaga as a disciplined, accomplished performer, but one who inhabits a peculiar isolation despite her fame."
"142","Kingsman: The Golden Circle",0,"This espionage sequel is an emotionally sterile lark, its wounds inflicted with a smirk and a shrug, even if it’s Sir Elton John in the cross hairs."
"143","Loving Vincent",0,"An innovative biopic explores the Dutch painter’s last days, with the people he rendered on canvas being brought to uncanny life."
"144","Stronger",0,"With raw emotion, David Gordon Green’s “Stronger” tells the true tale of Jeff Bauman, catastrophically injured as he watched the 2013 marathon."
"145","The LEGO Ninjago Movie",0,"A father, a son and the battle to save a snapped-together city."
"146","The Tiger Hunter",0,"It’s 1979 and one aspiring engineer is ready for America and to win over his childhood sweetheart."
"147","Unrest",0,"In this film, Jennifer Brea describes her life that Chronic Fatigue Syndrome hijacked."
"148","Victoria and Abdul",0,"“Victoria and Abdul” sees a queen in a life-changing relationship with a Muslim Indian man."
"149","Woodshock",0,"Kirsten Dunst stars in the hallucinatory first feature from the founders of Rodarte, Kate and Laura Mulleavy."
"150","Alina",0,"Ben Barenholtz kick-started the career of David Lynch. But his first fiction feature shows he has not mastered directing."
"151","American Assassin",0,"“American Assassin,” the first adaptation of a series of thrillers, stars Dylan O’Brien as a rogue C.I.A. killer and Michael Keaton as grizzled mentor."
"152","Brad's Status",0,"Mike White’s empty-nest comedy starring Ben Stiller is both cringy and kindhearted."
"153","First They Killed My Father: A Daughter of Cambodia Remembers",0,"“First They Killed My Father” depicts life under the Khmer Rouge in a film taken from Loung Ung’s memoir."
"154","In Search of Fellini",0,"A sheltered young woman enamored of the films of the famous director sets off to Italy to meet him."
"155","Manolo: The Boy Who Made Shoes for Lizards",0,"A new documentary about the famed designer could use more of the shoes for which he’s renowned."
"156","Mother!",0,"Jennifer Lawrence and Javier Bardem portray a couple in Darren Aronofsky’s film, a religious allegory with visual wit and dexterous camera work."
"157","Rebel in the Rye",0,"Years after “The Catcher in the Rye” came out, Hollywood was still salivating over it. This film takes a step back to examine the author."
"158","Rebels on Pointe",0,"The Ballets Russes de Monte Carlo meld technique with comedy, and tour more than two-thirds of the years"
"159","Strong Island",0,"The documentary looks at William Ford Jr., an unarmed black man who was killed by a white man who was never charged."
"160","Company Town",0,"Sick residents, environmental pollution and questions of corporate accountability in a small town in Arkansas."
"161","Home Again",0,"Reese Witherspoon plays cute and single in a mirthless romantic comedy in a movie by Hallie Meyers-Shyer, the daughter of Nancy Meyers and Charles Shyer."
"162","It",0,"This new, updated adaptation follows a bunch of kids on the trail of an evil force."
"163","Nobody's Watching",1,"An Argentine actor, played by Guillermo Pfening, pins his hopes on a movie career in America."
"164","School Life",0,"A documentary captures the routines of an Irish boarding school and two of its cherished teachers."
"165","Spettacolo",0,"A documentary about Monticchiello in Italy, where each year the residents put on a play about their most urgent concerns."
"166","The Good Catholic",0,"A promising young priest finds life outside of service, to the detriment of his profession."
"167","The Limehouse Golem",0,"Bill Nighy pursues a serial killer in 19th-century London in Juan Carlos Medina’s film."
"168","Trophy",1,"This thoughtful documentary raises tough questions about big-game hunting and wildlife conservation."
"169","Year by the Sea",0,"A crisis in her marriage sends a woman, played by Karen Allen, to Cape Cod to reflect."
"170","Do It Like An Hombre",0,"In this romantic comedy, a man can’t handle his best friend’s revelation that he’s gay, throwing their circle of friends and family into disarray."
"171","I Do... Until I Don't",0,"Three married couples outwit a documentary filmmaker in Lake Bell’s sex comedy."
"172","Jesus",0,"The actions of troubled teenage boys have dire consequences in this Chilean drama."
"173","Kill Me Please",1,"Murdered women arouse adolescent hormones in this gorgeous Brazilian thriller."
"174","The Teacher",0,"The Czech director Jan Hrebejk’s new film shows that a culture of collaboration requires active participation, even if subconscious."
"175","Tulip Fever",0,"Alicia Vikander, Dane DeHaan and Christoph Waltz star in this much-delayed film about an overripe love triangle in 17th-century Amsterdam."
"176","Unlocked",0,"Noomi Rapace plays an undercover C.I.A. agent in a film that serves up clichés with its suspense."
"177","Viceroy's House",0,"This film is a handsome, fleet look at the months leading up to the end of British colonial rule in India."
"178","Beach Rats",1,"Eliza Hittman’s refreshing sophomore feature centers on its main character’s existential crisis."
"179","Birth of the Dragon",0,"The film focuses on an early chapter in the martial-arts superstar’s life, when he battled a Shaolin monk in the Bay Area."
"180","Bushwick",0,"Forget high rents and artisanal pizza. This dystopian glimpse of a Brooklyn neighborhood features an army of snipers and storm troopers."
"181","Death Note",0,"Adam Wingard has adapted this sprawling Japanese manga series about a high schooler whose world is upended by an ancient notebook."
"182","England Is Mine",0,"In case you were uncertain, Mark Gill’s unrelentingly dour biopic confirms that the Smiths’ singer was a miserable lad."
"183","Leap!",0,"This risk-averse animated movie features the voices of Elle Fanning, Carly Rae Jepsen and Mel Brooks."
"184","Rememory",0,"A traumatized car-crash survivor turns into an amateur sleuth, using a machine that records and recovers memories."
"185","The King's Choice",0,"The movie sluggishly charts how the ceremonial king acquired real negotiating power during a crisis."
"186","The Unknown Girl",1,"A young doctor struggles with her conscience in this latest film from the Dardenne brothers."
"187","The Villainess",0,"A South Korean action drama deftly gives viewers a first-person view of violence, but falters when trying to convey its emotional costs."
"188","6 Days",0,"Toa Fraser’s film about a hostage crisis at the Iranian Embassy in London in 1980 can feel closer to a re-enactment than a thriller."
"189","California Typewriter",0,"This documentary directed by Doug Nichol plumbs the depths of devotion to a machine whose day might appear to be over."
"190","Crown Heights",0,"Based on a true story, Matt Ruskin’s film stars Lakeith Stanfield as a man who spent decades in prison for a crime he did not commit."
"191","Lemon",0,"Janicza Bravo’s feature debut centers on a would-be actor who is a failure in every respect."
