"","Title","Genre","Awards","Ratings.Source","Ratings.Value","Ratings.Source.1","Ratings.Value.1","Ratings.Source.2","Ratings.Value.2"
"205","Smurfs: The Lost Village","Animation, Adventure, Comedy, Family, Fantasy","2 nominations.","Internet Movie Database","6.0/10","Rotten Tomatoes","38%","Metacritic","40/100"
"206","Snatched","Action, Adventure, Comedy","1 win & 2 nominations.","Internet Movie Database","4.4/10","Rotten Tomatoes","37%","Metacritic","45/100"
"207","Spark: A Space Tail","Animation, Adventure, Comedy","1 win & 1 nomination.","Internet Movie Database","4.5/10","Rotten Tomatoes","14%","Metacritic","22/100"
"208","Spider-Man: Homecoming","Action, Adventure, Sci-Fi","4 wins & 9 nominations.","Internet Movie Database","7.5/10","Rotten Tomatoes","92%","Metacritic","73/100"
"209","Split","Horror, Thriller","8 wins & 19 nominations.","Internet Movie Database","7.3/10","Rotten Tomatoes","76%","Metacritic","62/100"
"210","Starless Dreams","Documentary","9 wins & 2 nominations.","Internet Movie Database","8.0/10","Metacritic","85/100",NA,NA
"211","Step","Documentary","8 wins & 20 nominations.","Internet Movie Database","6.8/10","Rotten Tomatoes","96%","Metacritic","81/100"
"212","Storks","Animation, Adventure, Comedy","3 wins & 3 nominations.","Internet Movie Database","6.8/10","Rotten Tomatoes","65%","Metacritic","56/100"
"213","Stronger","Biography, Drama","2 wins & 8 nominations.","Internet Movie Database","7.0/10","Rotten Tomatoes","92%","Metacritic","76/100"
"214","Suburbicon","Crime, Drama, Mystery","3 wins & 5 nominations.","Internet Movie Database","5.6/10","Metacritic","42/100",NA,NA
"215","Sully","Biography, Drama","Nominated for 1 Oscar. Another 12 wins & 33 nominations.","Internet Movie Database","7.5/10","Rotten Tomatoes","86%","Metacritic","74/100"
"216","Super Dark Times","Drama, Thriller","4 wins & 4 nominations.","Internet Movie Database","6.6/10","Rotten Tomatoes","90%","Metacritic","75/100"
"217","T2 Trainspotting","Drama","6 wins & 5 nominations.","Internet Movie Database","7.2/10","Rotten Tomatoes","79%","Metacritic","67/100"
"218","Table 19","Comedy, Drama, Romance","1 nomination.","Internet Movie Database","5.8/10","Rotten Tomatoes","26%","Metacritic","40/100"
"219","Take Me","Comedy, Crime","N/A","Internet Movie Database","6.1/10","Rotten Tomatoes","68%","Metacritic","56/100"
"220","Thank You for Your Service","Biography, Drama, War","1 win.","Internet Movie Database","6.5/10","Rotten Tomatoes","76%","Metacritic","68/100"
"221","The Accountant","Action, Crime, Drama, Thriller","3 wins & 5 nominations.","Internet Movie Database","7.4/10","Rotten Tomatoes","52%","Metacritic","51/100"
"222","The Bad Batch","Drama, Horror, Romance, Sci-Fi","1 win & 3 nominations.","Internet Movie Database","5.3/10","Rotten Tomatoes","43%","Metacritic","62/100"
"223","The Ballad of Lefty Brown","Action, Drama, Western","1 nomination.","Internet Movie Database","6.2/10","Rotten Tomatoes","78%","Metacritic","64/100"
"224","The Beguiled","Drama, Thriller","4 wins & 23 nominations.","Internet Movie Database","6.3/10","Rotten Tomatoes","78%","Metacritic","77/100"
"225","The Belko Experiment","Action, Horror, Thriller","N/A","Internet Movie Database","6.1/10","Rotten Tomatoes","54%","Metacritic","44/100"
"226","The Big Sick","Comedy, Drama, Romance","Nominated for 1 Oscar. Another 16 wins & 84 nominations.","Internet Movie Database","7.6/10","Rotten Tomatoes","98%","Metacritic","86/100"
"227","The Blackcoat's Daughter","Horror, Thriller","6 nominations.","Internet Movie Database","5.8/10","Rotten Tomatoes","71%","Metacritic","68/100"
"228","The Book of Henry","Crime, Drama, Thriller","1 win & 2 nominations.","Internet Movie Database","6.6/10","Rotten Tomatoes","22%","Metacritic","31/100"
"229","The Boss Baby","Animation, Adventure, Comedy","Nominated for 1 Oscar. Another 1 win & 19 nominations.","Internet Movie Database","6.3/10","Rotten Tomatoes","52%","Metacritic","50/100"
"230","The Breadwinner","Animation, Drama, Family","Nominated for 1 Oscar. Another 12 wins & 41 nominations.","Internet Movie Database","7.7/10","Rotten Tomatoes","95%","Metacritic","78/100"
"231","The Bye Bye Man","Horror, Thriller","N/A","Internet Movie Database","4.3/10","Rotten Tomatoes","21%","Metacritic","37/100"
"232","The Case for Christ","Biography, Drama, History","N/A","Internet Movie Database","6.1/10","Rotten Tomatoes","52%","Metacritic","50/100"
"233","The Circle","Drama, Sci-Fi, Thriller","1 win & 1 nomination.","Internet Movie Database","5.3/10","Rotten Tomatoes","16%","Metacritic","43/100"
"234","The Dark Tower","Action, Adventure, Fantasy","3 nominations.","Internet Movie Database","5.7/10","Rotten Tomatoes","16%","Metacritic","34/100"
"235","The Departure","Drama, Romance, Comedy","2 wins.","Internet Movie Database","6.9/10",NA,NA,NA,NA
"236","The Dinner","Crime, Drama, Thriller","1 nomination.","Internet Movie Database","4.5/10","Rotten Tomatoes","44%","Metacritic","57/100"
"237","The Disaster Artist","Biography, Comedy, Drama","Nominated for 1 Oscar. Another 25 wins & 71 nominations.","Internet Movie Database","7.5/10","Rotten Tomatoes","91%","Metacritic","76/100"
"238","The Edge of Seventeen","Comedy, Drama","Nominated for 1 Golden Globe. Another 6 wins & 25 nominations.","Internet Movie Database","7.4/10","Rotten Tomatoes","95%","Metacritic","77/100"
"239","The Emoji Movie","Animation, Adventure, Comedy, Family","5 wins & 3 nominations.","Internet Movie Database","3.2/10","Rotten Tomatoes","8%","Metacritic","12/100"
"240","The Exception","Drama, Romance, War","2 nominations.","Internet Movie Database","6.8/10","Metacritic","60/100",NA,NA
"241","The Fate of the Furious","Action, Crime, Thriller","1 win & 9 nominations.","Internet Movie Database","6.7/10","Rotten Tomatoes","66%","Metacritic","56/100"
"242","The Florida Project","Drama","Nominated for 1 Oscar. Another 58 wins & 106 nominations.","Internet Movie Database","7.6/10","Rotten Tomatoes","96%","Metacritic","92/100"
"243","The Foreigner","Action, Crime, Drama","N/A","Internet Movie Database","7.0/10","Rotten Tomatoes","64%","Metacritic","55/100"
"244","The Founder","Biography, Drama, History","1 win & 3 nominations.","Internet Movie Database","7.2/10","Rotten Tomatoes","82%","Metacritic","66/100"
"245","The Girl Without Hands","Animation","3 wins & 4 nominations.","Internet Movie Database","6.9/10","Metacritic","82/100",NA,NA
"246","The Glass Castle","Biography, Drama","1 win & 1 nomination.","Internet Movie Database","7.2/10","Rotten Tomatoes","50%","Metacritic","56/100"
"247","The Great Wall","Action, Adventure, Fantasy","1 win & 1 nomination.","Internet Movie Database","6.0/10","Rotten Tomatoes","35%","Metacritic","42/100"
"248","The Greatest Showman","Biography, Drama, Musical","Nominated for 1 Oscar. Another 7 wins & 19 nominations.","Internet Movie Database","7.7/10","Rotten Tomatoes","56%","Metacritic","48/100"
"249","The Hero","Comedy, Drama, Romance","1 win & 5 nominations.","Internet Movie Database","6.5/10","Rotten Tomatoes","78%","Metacritic","61/100"
"250","The Hitman's Bodyguard","Action, Comedy, Thriller","N/A","Internet Movie Database","6.9/10","Rotten Tomatoes","40%","Metacritic","47/100"
"251","The House","Comedy, Crime","1 win.","Internet Movie Database","5.6/10","Rotten Tomatoes","18%","Metacritic","30/100"
"252","The Killing of a Sacred Deer","Drama, Mystery, Thriller","2 wins & 30 nominations.","Internet Movie Database","7.0/10","Rotten Tomatoes","80%","Metacritic","73/100"
"253","The Last Dalai Lama?","Documentary","N/A","Rotten Tomatoes","90%",NA,NA,NA,NA
